"No","CodeFigure_DataCategories","Name_DataCategories_en","CodeFigure_InternationalDataSubcategories","Name_InternationalDataSubcategories_en","Status"
38.00,"2","Vertical soundings (other than satellite)","25","Climatological observations from fixed-land stations (CLIMAT TEMP)","Operational"
39.00,"2","Vertical soundings (other than satellite)","26","Climatological observations from ships (CLIMAT TEMP SHIP)","Operational"
40.00,"3","Vertical soundings (satellite)","0","Temperature (SATEM)","Operational"
41.00,"3","Vertical soundings (satellite)","1","TIROS (TOVS)","Operational"
42.00,"3","Vertical soundings (satellite)","2","ATOVS","Operational"
43.00,"3","Vertical soundings (satellite)","3","AMSU-A","Operational"
44.00,"3","Vertical soundings (satellite)","4","AMSU-B","Operational"
45.00,"3","Vertical soundings (satellite)","5","HIRS","Operational"
46.00,"3","Vertical soundings (satellite)","6","MHS","Operational"
47.00,"3","Vertical soundings (satellite)","7","IASI","Operational"
48.00,"3","Vertical soundings (satellite)","20","IR temperature/humidity sounding","Operational"
49.00,"3","Vertical soundings (satellite)","30","Hyperspectral temperature/humidity sounding","Operational"
50.00,"3","Vertical soundings (satellite)","40","MW temperature/humidity sounding","Operational"
51.00,"3","Vertical soundings (satellite)","50","Radio occultation sounding","Operational"
52.00,"4","Single level upper-air data (other than satellite)","0","ASDAR/ACARS (AMDAR)","Operational"
53.00,"4","Single level upper-air data (other than satellite)","1","Manual (AIREP, PIREP)","Operational"
54.00,"5","Single level upper-air data (satellite)","0","Cloud wind data (SATOB)","Operational"
55.00,"5","Single level upper-air data (satellite)","1","Cloud properties","Operational"
56.00,"6","Radar data","0","Reflectivity data","Operational"
57.00,"6","Radar data","1","Doppler wind profiles","Operational"
58.00,"6","Radar data","2","Derived products","Operational"
59.00,"6","Radar data","3","Ground radar weather (RADOB)","Operational"
60.00,"7","Synoptic features","0","Forecast tropical cyclone tracks from EPS","Operational"
61.00,"7","Synoptic features","1","Squall line","Operational"
62.00,"8","Physical/chemical constituents","0","Surface ozone","Operational"
63.00,"8","Physical/chemical constituents","1","Ozone vertical sounding","Operational"
64.00,"8","Physical/chemical constituents","2","Total ozone","Operational"
65.00,"8","Physical/chemical constituents","3","Acid rain","Operational"
66.00,"9","Dispersal and transport","0","Trajectories, analysis or forecast","Operational"
67.00,"10","Radiological data","1","Observation (RADREP)","Operational"
68.00,"10","Radiological data","2","Forecast (RADOF)","Operational"
69.00,"12","Surface data (satellite)","0","ERS-uwa","Operational"
70.00,"12","Surface data (satellite)","1","ERS-uwi","Operational"
71.00,"12","Surface data (satellite)","2","ERS-ura","Operational"
72.00,"12","Surface data (satellite)","3","ERS-uat","Operational"
73.00,"12","Surface data (satellite)","4","SSM/I radiometer","Operational"
74.00,"12","Surface data (satellite)","5","Quikscat","Operational"
75.00,"12","Surface data (satellite)","6","Surface temp./radiation (SATOB)","Operational"
76.00,"12","Surface data (satellite)","7","ASCAT data","Operational"
77.00,"12","Surface data (satellite)","8","Soil moisture","Operational"
78.00,"12","Surface data (satellite)","9","Normalized differential vegetation index (NDVI)","Operational"
79.00,"12","Surface data (satellite)","10","Normalized radar backscatter","Operational"
80.00,"12","Surface data (satellite)","11","Surface emissivity","Operational"
81.00,"12","Surface data (satellite)","12","Sea-surface temperature","Operational"
82.00,"21","Radiances (satellite measured)","0","Earth radiation budget","Operational"
83.00,"21","Radiances (satellite measured)","5","Cross-track infrared sounder","Operational"
84.00,"21","Radiances (satellite measured)","6","Advanced technology microwave sounder","Operational"
85.00,"21","Radiances (satellite measured)","7","Visible/infrared imager radiometer suite","Operational"
86.00,"22","Radar (satellite) but not altimeter and scatterometer","0","Cloud and precipitation radar","Operational"
87.00,"22","Radar (satellite) but not altimeter and scatterometer","1","Synthetic aperture radar","Operational"
88.00,"23","Lidar (satellite)","0","Lidar based missions (for wind, for cloud/aerosol, for water vapour, for altimetry)","Operational"
89.00,"24","Scatterometry (satellite)","0","Wind scatterometry","Operational"
90.00,"25","Altimetry (satellite)","0","Radar altimetry","Operational"
91.00,"26","Spectrometry (satellite)","0","Cross nadir short-wave spectrometry (for chemistry)","Operational"
92.00,"26","Spectrometry (satellite)","1","Cross nadir IR spectrometry (for chemistry)","Operational"
93.00,"26","Spectrometry (satellite)","2","Limb sounding short-wave spectrometry","Operational"
94.00,"26","Spectrometry (satellite)","3","Limb sounding IR spectrometry","Operational"
95.00,"26","Spectrometry (satellite)","4","Limb sounding sub-millimetre wave spectrometry","Operational"
96.00,"30","Calibration dataset (satellite)","0","Subsetted data","Operational"
97.00,"30","Calibration dataset (satellite)","1","Collocated data","Operational"
98.00,"30","Calibration dataset (satellite)","2","On-board calibration data","Operational"
99.00,"30","Calibration dataset (satellite)","3","Bias monitoring","Operational"
100.00,"30","Calibration dataset (satellite)","4","Near-real-time correction","Operational"
101.00,"30","Calibration dataset (satellite)","5","Re-analysis correction","Operational"
102.00,"31","Oceanographic data","0","Surface observation","Operational"
103.00,"31","Oceanographic data","1","Surface observation along track (TRACKOB)","Operational"
104.00,"31","Oceanographic data","2","Spectral wave observation (WAVEOB)","Operational"
105.00,"31","Oceanographic data","3","Bathythermal observation (BATHY)","Operational"
106.00,"31","Oceanographic data","4","Subsurface floats (profile)","Operational"
107.00,"31","Oceanographic data","5","XBT/XCTD profiles (TESAC)","Operational"
108.00,"31","Oceanographic data","6","Waves reports","Operational"
109.00,"31","Oceanographic data","7","Tsunameter data","Operational"
110.00,"101","Image data (satellite)","0","Multi-purpose VIS/IR imagery","Operational"
111.00,"101","Image data (satellite)","1","Conical scanning MW imagery (intermediate frequencies)","Operational"
112.00,"101","Image data (satellite)","2","Low frequency MW imagery","Operational"
113.00,"101","Image data (satellite)","3","Ocean colour imagery","Operational"
114.00,"101","Image data (satellite)","4","Imagery with special viewing geometry","Operational"
115.00,"101","Image data (satellite)","5","Lightning imagery","Operational"
116.00,"101","Image data (satellite)","6","High-resolution short-wave imagery for land observation","Operational"
117.00,"101","Image data (satellite)","7","SMOS data","Operational"
