"No","CodeFigure_DataCategories","Name_DataCategories_en","CodeFigure_InternationalDataSubcategories","Name_InternationalDataSubcategories_en","Status"
38.00,"2","Vertical soundings (other than satellite)","15","Upper-level temperature/humidity/wind reports from descent radiosondes originally launched from ships","Operational"
39.00,"2","Vertical soundings (other than satellite)","16","Upper-level temperature/humidity/wind reports from descent radiosondes originally launched from mobile land stations","Operational"
40.00,"2","Vertical soundings (other than satellite)","20","ASDAR/ACARS profiles (AMDAR)","Operational"
41.00,"2","Vertical soundings (other than satellite)","21","Profiles of atmospheric constituents concentrations","Operational"
42.00,"2","Vertical soundings (other than satellite)","25","Climatological observations from fixed-land stations (CLIMAT TEMP)","Operational"
43.00,"2","Vertical soundings (other than satellite)","26","Climatological observations from ships (CLIMAT TEMP SHIP)","Operational"
44.00,"3","Vertical soundings (satellite)","0","Temperature (SATEM)","Operational"
45.00,"3","Vertical soundings (satellite)","1","TIROS (TOVS)","Operational"
46.00,"3","Vertical soundings (satellite)","2","ATOVS","Operational"
47.00,"3","Vertical soundings (satellite)","3","AMSU-A","Operational"
48.00,"3","Vertical soundings (satellite)","4","AMSU-B","Operational"
49.00,"3","Vertical soundings (satellite)","5","HIRS","Operational"
50.00,"3","Vertical soundings (satellite)","6","MHS","Operational"
51.00,"3","Vertical soundings (satellite)","7","IASI","Operational"
52.00,"3","Vertical soundings (satellite)","8","VASS (Vertical atmospheric sounding system)","Operational"
53.00,"3","Vertical soundings (satellite)","20","IR temperature/humidity sounding","Operational"
54.00,"3","Vertical soundings (satellite)","30","Hyperspectral temperature/humidity sounding","Operational"
55.00,"3","Vertical soundings (satellite)","40","MW temperature/humidity sounding","Operational"
56.00,"3","Vertical soundings (satellite)","50","Radio occultation sounding","Operational"
57.00,"4","Single level upper-air data (other than satellite)","0","ASDAR/ACARS (AMDAR)","Operational"
58.00,"4","Single level upper-air data (other than satellite)","1","Manual (AIREP, PIREP)","Operational"
59.00,"5","Single level upper-air data (satellite)","0","Cloud wind data (SATOB)","Operational"
60.00,"5","Single level upper-air data (satellite)","1","Cloud properties","Operational"
61.00,"6","Radar data","0","Reflectivity data","Operational"
62.00,"6","Radar data","1","Doppler wind profiles","Operational"
63.00,"6","Radar data","2","Derived products","Operational"
64.00,"6","Radar data","3","Ground radar weather (RADOB)","Operational"
65.00,"7","Synoptic features","0","Forecast tropical cyclone tracks from EPS","Operational"
66.00,"7","Synoptic features","1","Squall line","Operational"
67.00,"8","Physical/chemical constituents","0","Surface ozone","Operational"
68.00,"8","Physical/chemical constituents","1","Ozone vertical sounding","Operational"
69.00,"8","Physical/chemical constituents","2","Total ozone","Operational"
70.00,"8","Physical/chemical constituents","3","Acid rain","Operational"
71.00,"9","Dispersal and transport","0","Trajectories, analysis or forecast","Operational"
72.00,"10","Radiological data","1","Observation (RADREP)","Operational"
73.00,"10","Radiological data","2","Forecast (RADOF)","Operational"
74.00,"12","Surface data (satellite)","0","ERS-uwa","Operational"
75.00,"12","Surface data (satellite)","1","ERS-uwi","Operational"
76.00,"12","Surface data (satellite)","2","ERS-ura","Operational"
77.00,"12","Surface data (satellite)","3","ERS-uat","Operational"
78.00,"12","Surface data (satellite)","4","SSM/I radiometer","Operational"
79.00,"12","Surface data (satellite)","5","Quikscat","Operational"
80.00,"12","Surface data (satellite)","6","Surface temp./radiation (SATOB)","Operational"
81.00,"12","Surface data (satellite)","7","ASCAT data","Operational"
82.00,"12","Surface data (satellite)","8","Soil moisture","Operational"
83.00,"12","Surface data (satellite)","9","Normalized differential vegetation index (NDVI)","Operational"
84.00,"12","Surface data (satellite)","10","Normalized radar backscatter","Operational"
85.00,"12","Surface data (satellite)","11","Surface emissivity","Operational"
86.00,"12","Surface data (satellite)","12","Sea-surface temperature","Operational"
87.00,"12","Surface data (satellite)","13","Precipitation","Operational"
88.00,"21","Radiances (satellite measured)","0","Earth radiation budget","Operational"
89.00,"21","Radiances (satellite measured)","5","Cross-track infrared sounder","Operational"
90.00,"21","Radiances (satellite measured)","6","Advanced technology microwave sounder","Operational"
91.00,"21","Radiances (satellite measured)","7","Visible/infrared imager radiometer suite","Operational"
92.00,"22","Radar (satellite) but not altimeter and scatterometer","0","Cloud and precipitation radar","Operational"
93.00,"22","Radar (satellite) but not altimeter and scatterometer","1","Synthetic aperture radar","Operational"
94.00,"23","Lidar (satellite)","0","Lidar based missions (for wind, for cloud/aerosol, for water vapour, for altimetry)","Operational"
95.00,"24","Scatterometry (satellite)","0","Wind scatterometry","Operational"
96.00,"25","Altimetry (satellite)","0","Radar altimetry","Operational"
97.00,"26","Spectrometry (satellite)","0","Cross nadir short-wave spectrometry (for chemistry)","Operational"
98.00,"26","Spectrometry (satellite)","1","Cross nadir IR spectrometry (for chemistry)","Operational"
99.00,"26","Spectrometry (satellite)","2","Limb sounding short-wave spectrometry","Operational"
100.00,"26","Spectrometry (satellite)","3","Limb sounding IR spectrometry","Operational"
101.00,"26","Spectrometry (satellite)","4","Limb sounding sub-millimetre wave spectrometry","Operational"
102.00,"30","Calibration dataset (satellite)","0","Subsetted data","Operational"
103.00,"30","Calibration dataset (satellite)","1","Collocated data","Operational"
104.00,"30","Calibration dataset (satellite)","2","On-board calibration data","Operational"
105.00,"30","Calibration dataset (satellite)","3","Bias monitoring","Operational"
106.00,"30","Calibration dataset (satellite)","4","Near-real-time correction","Operational"
107.00,"30","Calibration dataset (satellite)","5","Re-analysis correction","Operational"
108.00,"31","Oceanographic data","0","Surface observation","Operational"
109.00,"31","Oceanographic data","1","Surface observation along track (TRACKOB)","Operational"
110.00,"31","Oceanographic data","2","Spectral wave observation (WAVEOB)","Operational"
111.00,"31","Oceanographic data","3","Bathythermal observation (BATHY)","Operational"
112.00,"31","Oceanographic data","4","Subsurface floats (profile)","Operational"
113.00,"31","Oceanographic data","5","XBT/XCTD profiles (TESAC)","Operational"
114.00,"31","Oceanographic data","6","Waves reports","Operational"
115.00,"31","Oceanographic data","7","Tsunameter data","Operational"
116.00,"101","Image data (satellite)","0","Multi-purpose VIS/IR imagery","Operational"
117.00,"101","Image data (satellite)","1","Conical scanning MW imagery (intermediate frequencies)","Operational"
118.00,"101","Image data (satellite)","2","Low frequency MW imagery","Operational"
119.00,"101","Image data (satellite)","3","Ocean colour imagery","Operational"
120.00,"101","Image data (satellite)","4","Imagery with special viewing geometry","Operational"
121.00,"101","Image data (satellite)","5","Lightning imagery","Operational"
122.00,"101","Image data (satellite)","6","High-resolution short-wave imagery for land observation","Operational"
123.00,"101","Image data (satellite)","7","SMOS data","Operational"
